Date,Store,Product,Demand,price,promo,weekday,month
17-01-2023,store_1,item_1,56,21.3,0,1,1
18-01-2023,store_1,item_1,55,21.3,0,2,1
19-01-2023,store_1,item_1,56,21.3,0,3,1
20-01-2023,store_1,item_1,41,21.3,0,4,1
21-01-2023,store_1,item_1,41,21.3,0,5,1
22-01-2023,store_1,item_1,39,21.3,0,6,1
23-01-2023,store_1,item_1,57,21.3,0,0,1
24-01-2023,store_1,item_1,92,17.04,1,1,1
25-01-2023,store_1,item_1,62,21.3,0,2,1
26-01-2023,store_1,item_1,61,21.3,0,3,1
27-01-2023,store_1,item_1,45,21.3,0,4,1
28-01-2023,store_1,item_1,44,21.3,0,5,1
29-01-2023,store_1,item_1,45,21.3,0,6,1
30-01-2023,store_1,item_1,54,21.3,0,0,1
31-01-2023,store_1,item_1,96,17.04,1,1,1
01-01-2019,store_1,item_2,56,30.84,1,1,1
02-01-2019,store_1,item_2,36,38.55,0,2,1
03-01-2019,store_1,item_2,38,38.55,0,3,1
04-01-2019,store_1,item_2,28,38.55,0,4,1
05-01-2019,store_1,item_2,28,38.55,0,5,1
06-01-2019,store_1,item_2,24,38.55,0,6,1
07-01-2019,store_1,item_2,35,38.55,0,0,1
08-01-2019,store_1,item_2,35,38.55,0,1,1
09-01-2019,store_1,item_2,40,38.55,0,2,1
10-01-2019,store_1,item_2,39,38.55,0,3,1
11-01-2019,store_1,item_2,30,38.55,0,4,1
12-01-2019,store_1,item_2,24,38.55,0,5,1
13-01-2019,store_1,item_2,30,38.55,0,6,1
14-01-2019,store_1,item_2,31,38.55,0,0,1
15-01-2019,store_1,item_2,38,38.55,0,1,1
16-01-2019,store_1,item_2,42,38.55,0,2,1
17-01-2019,store_1,item_2,41,38.55,0,3,1
18-01-2019,store_1,item_2,32,38.55,0,4,1
19-01-2019,store_1,item_2,28,38.55,0,5,1
20-01-2019,store_1,item_2,32,38.55,0,6,1
21-01-2019,store_1,item_2,35,38.55,0,0,1
22-01-2019,store_1,item_2,43,38.55,0,1,1
23-01-2019,store_1,item_2,45,38.55,0,2,1
24-01-2019,store_1,item_2,38,38.55,0,3,1
25-01-2019,store_1,item_2,23,38.55,0,4,1
26-01-2019,store_1,item_2,26,38.55,0,5,1
27-01-2019,store_1,item_2,34,38.55,0,6,1
28-01-2019,store_1,item_2,36,38.55,0,0,1
29-01-2019,store_1,item_2,41,38.55,0,1,1
30-01-2019,store_1,item_2,47,38.55,0,2,1
31-01-2019,store_1,item_2,59,30.84,1,3,1
01-01-2020,store_1,item_2,41,38.55,0,2,1
02-01-2020,store_1,item_2,39,38.55,0,3,1
03-01-2020,store_1,item_2,29,38.55,0,4,1
04-01-2020,store_1,item_2,28,38.55,0,5,1
05-01-2020,store_1,item_2,27,38.55,0,6,1
06-01-2020,store_1,item_2,37,38.55,0,0,1
07-01-2020,store_1,item_2,44,38.55,0,1,1
08-01-2020,store_1,item_2,43,38.55,0,2,1
09-01-2020,store_1,item_2,41,38.55,0,3,1
10-01-2020,store_1,item_2,32,38.55,0,4,1
11-01-2020,store_1,item_2,45,30.84,1,5,1
12-01-2020,store_1,item_2,30,38.55,0,6,1
13-01-2020,store_1,item_2,51,30.84,1,0,1
14-01-2020,store_1,item_2,42,38.55,0,1,1
15-01-2020,store_1,item_2,40,38.55,0,2,1
16-01-2020,store_1,item_2,46,38.55,0,3,1
17-01-2020,store_1,item_2,32,38.55,0,4,1
18-01-2020,store_1,item_2,46,30.84,1,5,1
19-01-2020,store_1,item_2,31,38.55,0,6,1
20-01-2020,store_1,item_2,33,38.55,0,0,1
21-01-2020,store_1,item_2,37,38.55,0,1,1
22-01-2020,store_1,item_2,47,38.55,0,2,1
23-01-2020,store_1,item_2,45,38.55,0,3,1
24-01-2020,store_1,item_2,32,38.55,0,4,1
25-01-2020,store_1,item_2,25,38.55,0,5,1
26-01-2020,store_1,item_2,31,38.55,0,6,1
27-01-2020,store_1,item_2,35,38.55,0,0,1
28-01-2020,store_1,item_2,42,38.55,0,1,1
29-01-2020,store_1,item_2,48,38.55,0,2,1
30-01-2020,store_1,item_2,42,38.55,0,3,1
31-01-2020,store_1,item_2,33,38.55,0,4,1
01-01-2021,store_1,item_2,32,38.55,0,4,1
02-01-2021,store_1,item_2,21,38.55,0,5,1
03-01-2021,store_1,item_2,42,30.84,1,6,1
04-01-2021,store_1,item_2,38,38.55,0,0,1
05-01-2021,store_1,item_2,36,38.55,0,1,1
06-01-2021,store_1,item_2,47,38.55,0,2,1
07-01-2021,store_1,item_2,43,38.55,0,3,1
08-01-2021,store_1,item_2,34,38.55,0,4,1
09-01-2021,store_1,item_2,32,38.55,0,5,1
10-01-2021,store_1,item_2,33,38.55,0,6,1
11-01-2021,store_1,item_2,37,38.55,0,0,1
12-01-2021,store_1,item_2,61,30.84,1,1,1
13-01-2021,store_1,item_2,48,38.55,0,2,1
14-01-2021,store_1,item_2,46,38.55,0,3,1
15-01-2021,store_1,item_2,31,38.55,0,4,1
16-01-2021,store_1,item_2,27,38.55,0,5,1
17-01-2021,store_1,item_2,32,38.55,0,6,1
18-01-2021,store_1,item_2,37,38.55,0,0,1
19-01-2021,store_1,item_2,45,38.55,0,1,1
20-01-2021,store_1,item_2,50,38.55,0,2,1
21-01-2021,store_1,item_2,36,38.55,0,3,1
22-01-2021,store_1,item_2,41,38.55,0,4,1
23-01-2021,store_1,item_2,31,38.55,0,5,1
24-01-2021,store_1,item_2,35,38.55,0,6,1
25-01-2021,store_1,item_2,42,38.55,0,0,1
26-01-2021,store_1,item_2,49,38.55,0,1,1
27-01-2021,store_1,item_2,48,38.55,0,2,1
28-01-2021,store_1,item_2,45,38.55,0,3,1
29-01-2021,store_1,item_2,38,38.55,0,4,1
30-01-2021,store_1,item_2,31,38.55,0,5,1
31-01-2021,store_1,item_2,29,38.55,0,6,1
01-01-2022,store_1,item_2,26,38.55,0,5,1
02-01-2022,store_1,item_2,37,38.55,0,6,1
03-01-2022,store_1,item_2,33,38.55,0,0,1
04-01-2022,store_1,item_2,43,38.55,0,1,1
05-01-2022,store_1,item_2,46,38.55,0,2,1
06-01-2022,store_1,item_2,46,38.55,0,3,1
07-01-2022,store_1,item_2,30,38.55,0,4,1
08-01-2022,store_1,item_2,33,38.55,0,5,1
09-01-2022,store_1,item_2,30,38.55,0,6,1
10-01-2022,store_1,item_2,41,38.55,0,0,1
11-01-2022,store_1,item_2,43,38.55,0,1,1
12-01-2022,store_1,item_2,52,38.55,0,2,1
13-01-2022,store_1,item_2,41,38.55,0,3,1
14-01-2022,store_1,item_2,47,30.84,1,4,1
15-01-2022,store_1,item_2,46,30.84,1,5,1
16-01-2022,store_1,item_2,33,38.55,0,6,1
17-01-2022,store_1,item_2,44,38.55,0,0,1
18-01-2022,store_1,item_2,43,38.55,0,1,1
19-01-2022,store_1,item_2,70,30.84,1,2,1
20-01-2022,store_1,item_2,48,38.55,0,3,1
21-01-2022,store_1,item_2,34,38.55,0,4,1
22-01-2022,store_1,item_2,33,38.55,0,5,1
23-01-2022,store_1,item_2,35,38.55,0,6,1
24-01-2022,store_1,item_2,43,38.55,0,0,1
25-01-2022,store_1,item_2,71,30.84,1,1,1
26-01-2022,store_1,item_2,48,38.55,0,2,1
27-01-2022,store_1,item_2,47,38.55,0,3,1
28-01-2022,store_1,item_2,36,38.55,0,4,1
29-01-2022,store_1,item_2,30,38.55,0,5,1
30-01-2022,store_1,item_2,40,38.55,0,6,1
31-01-2022,store_1,item_2,45,38.55,0,0,1
01-01-2023,store_1,item_2,35,38.55,0,6,1
02-01-2023,store_1,item_2,35,38.55,0,0,1
03-01-2023,store_1,item_2,43,38.55,0,1,1
04-01-2023,store_1,item_2,45,38.55,0,2,1
05-01-2023,store_1,item_2,43,38.55,0,3,1
06-01-2023,store_1,item_2,41,38.55,0,4,1
07-01-2023,store_1,item_2,33,38.55,0,5,1
08-01-2023,store_1,item_2,33,38.55,0,6,1
09-01-2023,store_1,item_2,32,38.55,0,0,1
10-01-2023,store_1,item_2,49,38.55,0,1,1
11-01-2023,store_1,item_2,77,30.84,1,2,1
12-01-2023,store_1,item_2,40,38.55,0,3,1
13-01-2023,store_1,item_2,38,38.55,0,4,1
14-01-2023,store_1,item_2,34,38.55,0,5,1
15-01-2023,store_1,item_2,39,38.55,0,6,1
16-01-2023,store_1,item_2,40,38.55,0,0,1
17-01-2023,store_1,item_2,47,38.55,0,1,1
18-01-2023,store_1,item_2,50,38.55,0,2,1
19-01-2023,store_1,item_2,74,30.84,1,3,1
20-01-2023,store_1,item_2,43,38.55,0,4,1
21-01-2023,store_1,item_2,35,38.55,0,5,1
22-01-2023,store_1,item_2,40,38.55,0,6,1
23-01-2023,store_1,item_2,37,38.55,0,0,1
24-01-2023,store_1,item_2,79,30.84,1,1,1
25-01-2023,store_1,item_2,49,38.55,0,2,1
26-01-2023,store_1,item_2,54,38.55,0,3,1
27-01-2023,store_1,item_2,38,38.55,0,4,1
28-01-2023,store_1,item_2,33,38.55,0,5,1
29-01-2023,store_1,item_2,40,38.55,0,6,1
30-01-2023,store_1,item_2,47,38.55,0,0,1
31-01-2023,store_1,item_2,51,38.55,0,1,1
01-01-2019,store_1,item_3,37,82.6,0,1,1
02-01-2019,store_1,item_3,40,82.6,0,2,1
03-01-2019,store_1,item_3,40,82.6,0,3,1
04-01-2019,store_1,item_3,41,82.6,0,4,1
05-01-2019,store_1,item_3,29,82.6,0,5,1
06-01-2019,store_1,item_3,31,82.6,0,6,1
07-01-2019,store_1,item_3,33,82.6,0,0,1
08-01-2019,store_1,item_3,47,82.6,0,1,1
09-01-2019,store_1,item_3,48,82.6,0,2,1
10-01-2019,store_1,item_3,44,82.6,0,3,1
11-01-2019,store_1,item_3,33,82.6,0,4,1
12-01-2019,store_1,item_3,29,82.6,0,5,1
13-01-2019,store_1,item_3,29,82.6,0,6,1
14-01-2019,store_1,item_3,39,82.6,0,0,1
15-01-2019,store_1,item_3,42,82.6,0,1,1
16-01-2019,store_1,item_3,43,82.6,0,2,1
17-01-2019,store_1,item_3,42,82.6,0,3,1
18-01-2019,store_1,item_3,35,82.6,0,4,1
19-01-2019,store_1,item_3,30,82.6,0,5,1
20-01-2019,store_1,item_3,35,82.6,0,6,1
21-01-2019,store_1,item_3,40,82.6,0,0,1
22-01-2019,store_1,item_3,46,82.6,0,1,1
23-01-2019,store_1,item_3,49,82.6,0,2,1
24-01-2019,store_1,item_3,41,82.6,0,3,1
25-01-2019,store_1,item_3,38,82.6,0,4,1
26-01-2019,store_1,item_3,34,82.6,0,5,1
27-01-2019,store_1,item_3,30,82.6,0,6,1
28-01-2019,store_1,item_3,44,82.6,0,0,1
29-01-2019,store_1,item_3,46,82.6,0,1,1
30-01-2019,store_1,item_3,50,82.6,0,2,1
31-01-2019,store_1,item_3,72,66.08,1,3,1
01-01-2020,store_1,item_3,50,82.6,0,2,1
02-01-2020,store_1,item_3,44,82.6,0,3,1
03-01-2020,store_1,item_3,35,82.6,0,4,1
04-01-2020,store_1,item_3,36,82.6,0,5,1
05-01-2020,store_1,item_3,26,82.6,0,6,1
06-01-2020,store_1,item_3,46,82.6,0,0,1
07-01-2020,store_1,item_3,41,82.6,0,1,1
08-01-2020,store_1,item_3,46,82.6,0,2,1
09-01-2020,store_1,item_3,44,82.6,0,3,1
10-01-2020,store_1,item_3,37,82.6,0,4,1
11-01-2020,store_1,item_3,36,82.6,0,5,1
12-01-2020,store_1,item_3,31,82.6,0,6,1
13-01-2020,store_1,item_3,42,82.6,0,0,1
14-01-2020,store_1,item_3,46,82.6,0,1,1
15-01-2020,store_1,item_3,75,66.08,1,2,1
16-01-2020,store_1,item_3,45,82.6,0,3,1
17-01-2020,store_1,item_3,39,82.6,0,4,1
18-01-2020,store_1,item_3,32,82.6,0,5,1
19-01-2020,store_1,item_3,34,82.6,0,6,1
20-01-2020,store_1,item_3,43,82.6,0,0,1
21-01-2020,store_1,item_3,52,82.6,0,1,1
22-01-2020,store_1,item_3,49,82.6,0,2,1
23-01-2020,store_1,item_3,44,82.6,0,3,1
24-01-2020,store_1,item_3,41,82.6,0,4,1
25-01-2020,store_1,item_3,35,82.6,0,5,1
26-01-2020,store_1,item_3,39,82.6,0,6,1
27-01-2020,store_1,item_3,41,82.6,0,0,1
28-01-2020,store_1,item_3,46,82.6,0,1,1
29-01-2020,store_1,item_3,51,82.6,0,2,1
30-01-2020,store_1,item_3,46,82.6,0,3,1
31-01-2020,store_1,item_3,40,82.6,0,4,1
01-01-2021,store_1,item_3,57,66.08,1,4,1
02-01-2021,store_1,item_3,33,82.6,0,5,1
03-01-2021,store_1,item_3,37,82.6,0,6,1
04-01-2021,store_1,item_3,40,82.6,0,0,1
05-01-2021,store_1,item_3,53,82.6,0,1,1
06-01-2021,store_1,item_3,48,82.6,0,2,1
07-01-2021,store_1,item_3,48,82.6,0,3,1
08-01-2021,store_1,item_3,43,82.6,0,4,1
09-01-2021,store_1,item_3,30,82.6,0,5,1
10-01-2021,store_1,item_3,35,82.6,0,6,1
11-01-2021,store_1,item_3,46,82.6,0,0,1
12-01-2021,store_1,item_3,78,66.08,1,1,1
13-01-2021,store_1,item_3,51,82.6,0,2,1
14-01-2021,store_1,item_3,45,82.6,0,3,1
15-01-2021,store_1,item_3,43,82.6,0,4,1
16-01-2021,store_1,item_3,39,82.6,0,5,1
17-01-2021,store_1,item_3,34,82.6,0,6,1
18-01-2021,store_1,item_3,41,82.6,0,0,1
19-01-2021,store_1,item_3,52,82.6,0,1,1
20-01-2021,store_1,item_3,56,82.6,0,2,1
21-01-2021,store_1,item_3,48,82.6,0,3,1
22-01-2021,store_1,item_3,43,82.6,0,4,1
23-01-2021,store_1,item_3,34,82.6,0,5,1
24-01-2021,store_1,item_3,51,66.08,1,6,1
25-01-2021,store_1,item_3,45,82.6,0,0,1
26-01-2021,store_1,item_3,53,82.6,0,1,1
27-01-2021,store_1,item_3,54,82.6,0,2,1
28-01-2021,store_1,item_3,47,82.6,0,3,1
29-01-2021,store_1,item_3,37,82.6,0,4,1
30-01-2021,store_1,item_3,36,82.6,0,5,1
31-01-2021,store_1,item_3,62,66.08,1,6,1
01-01-2022,store_1,item_3,35,82.6,0,5,1
02-01-2022,store_1,item_3,37,82.6,0,6,1
03-01-2022,store_1,item_3,39,82.6,0,0,1
04-01-2022,store_1,item_3,49,82.6,0,1,1
05-01-2022,store_1,item_3,52,82.6,0,2,1
06-01-2022,store_1,item_3,51,82.6,0,3,1
07-01-2022,store_1,item_3,39,82.6,0,4,1
08-01-2022,store_1,item_3,38,82.6,0,5,1
09-01-2022,store_1,item_3,38,82.6,0,6,1
10-01-2022,store_1,item_3,45,82.6,0,0,1
11-01-2022,store_1,item_3,53,82.6,0,1,1
12-01-2022,store_1,item_3,53,82.6,0,2,1
13-01-2022,store_1,item_3,48,82.6,0,3,1
14-01-2022,store_1,item_3,58,66.08,1,4,1
15-01-2022,store_1,item_3,55,66.08,1,5,1
16-01-2022,store_1,item_3,57,66.08,1,6,1
17-01-2022,store_1,item_3,45,82.6,0,0,1
18-01-2022,store_1,item_3,55,82.6,0,1,1
19-01-2022,store_1,item_3,58,82.6,0,2,1
20-01-2022,store_1,item_3,52,82.6,0,3,1
21-01-2022,store_1,item_3,46,82.6,0,4,1
22-01-2022,store_1,item_3,40,82.6,0,5,1
23-01-2022,store_1,item_3,60,66.08,1,6,1
24-01-2022,store_1,item_3,47,82.6,0,0,1
25-01-2022,store_1,item_3,85,66.08,1,1,1
26-01-2022,store_1,item_3,60,82.6,0,2,1
27-01-2022,store_1,item_3,57,82.6,0,3,1
28-01-2022,store_1,item_3,48,82.6,0,4,1
29-01-2022,store_1,item_3,38,82.6,0,5,1
30-01-2022,store_1,item_3,41,82.6,0,6,1
31-01-2022,store_1,item_3,52,82.6,0,0,1
01-01-2023,store_1,item_3,40,82.6,0,6,1
02-01-2023,store_1,item_3,46,82.6,0,0,1
03-01-2023,store_1,item_3,58,82.6,0,1,1
04-01-2023,store_1,item_3,54,82.6,0,2,1
05-01-2023,store_1,item_3,54,82.6,0,3,1
06-01-2023,store_1,item_3,43,82.6,0,4,1
07-01-2023,store_1,item_3,34,82.6,0,5,1
08-01-2023,store_1,item_3,45,82.6,0,6,1
09-01-2023,store_1,item_3,50,82.6,0,0,1
10-01-2023,store_1,item_3,54,82.6,0,1,1
11-01-2023,store_1,item_3,59,82.6,0,2,1
12-01-2023,store_1,item_3,51,82.6,0,3,1
13-01-2023,store_1,item_3,46,82.6,0,4,1
14-01-2023,store_1,item_3,32,82.6,0,5,1
15-01-2023,store_1,item_3,38,82.6,0,6,1
16-01-2023,store_1,item_3,52,82.6,0,0,1
17-01-2023,store_1,item_3,84,66.08,1,1,1
18-01-2023,store_1,item_3,59,82.6,0,2,1
19-01-2023,store_1,item_3,50,82.6,0,3,1
20-01-2023,store_1,item_3,51,82.6,0,4,1
21-01-2023,store_1,item_3,44,82.6,0,5,1
22-01-2023,store_1,item_3,42,82.6,0,6,1
23-01-2023,store_1,item_3,49,82.6,0,0,1
24-01-2023,store_1,item_3,62,82.6,0,1,1
25-01-2023,store_1,item_3,97,66.08,1,2,1
26-01-2023,store_1,item_3,58,82.6,0,3,1
27-01-2023,store_1,item_3,53,82.6,0,4,1
28-01-2023,store_1,item_3,39,82.6,0,5,1
29-01-2023,store_1,item_3,41,82.6,0,6,1
30-01-2023,store_1,item_3,48,82.6,0,0,1
31-01-2023,store_1,item_3,62,82.6,0,1,1
01-01-2019,store_1,item_4,36,89.65,0,1,1
02-01-2019,store_1,item_4,40,89.65,0,2,1
03-01-2019,store_1,item_4,36,89.65,0,3,1
04-01-2019,store_1,item_4,29,89.65,0,4,1
05-01-2019,store_1,item_4,44,71.72,1,5,1
06-01-2019,store_1,item_4,32,89.65,0,6,1
07-01-2019,store_1,item_4,49,71.72,1,0,1
08-01-2019,store_1,item_4,41,89.65,0,1,1
09-01-2019,store_1,item_4,43,89.65,0,2,1
10-01-2019,store_1,item_4,39,89.65,0,3,1
11-01-2019,store_1,item_4,47,71.72,1,4,1
12-01-2019,store_1,item_4,29,89.65,0,5,1
13-01-2019,store_1,item_4,29,89.65,0,6,1
14-01-2019,store_1,item_4,37,89.65,0,0,1
15-01-2019,store_1,item_4,39,89.65,0,1,1
16-01-2019,store_1,item_4,44,89.65,0,2,1
17-01-2019,store_1,item_4,60,71.72,1,3,1
18-01-2019,store_1,item_4,34,89.65,0,4,1
19-01-2019,store_1,item_4,32,89.65,0,5,1
20-01-2019,store_1,item_4,32,89.65,0,6,1
21-01-2019,store_1,item_4,41,89.65,0,0,1
22-01-2019,store_1,item_4,44,89.65,0,1,1
23-01-2019,store_1,item_4,49,89.65,0,2,1
24-01-2019,store_1,item_4,46,89.65,0,3,1
25-01-2019,store_1,item_4,37,89.65,0,4,1
26-01-2019,store_1,item_4,32,89.65,0,5,1
27-01-2019,store_1,item_4,35,89.65,0,6,1
28-01-2019,store_1,item_4,41,89.65,0,0,1
29-01-2019,store_1,item_4,49,89.65,0,1,1
30-01-2019,store_1,item_4,51,89.65,0,2,1
31-01-2019,store_1,item_4,46,89.65,0,3,1
01-01-2020,store_1,item_4,46,89.65,0,2,1
02-01-2020,store_1,item_4,42,89.65,0,3,1
03-01-2020,store_1,item_4,37,89.65,0,4,1
04-01-2020,store_1,item_4,31,89.65,0,5,1
05-01-2020,store_1,item_4,21,89.65,0,6,1
06-01-2020,store_1,item_4,40,89.65,0,0,1
07-01-2020,store_1,item_4,40,89.65,0,1,1
08-01-2020,store_1,item_4,41,89.65,0,2,1
09-01-2020,store_1,item_4,57,71.72,1,3,1
10-01-2020,store_1,item_4,29,89.65,0,4,1
11-01-2020,store_1,item_4,32,89.65,0,5,1
12-01-2020,store_1,item_4,31,89.65,0,6,1
13-01-2020,store_1,item_4,35,89.65,0,0,1
14-01-2020,store_1,item_4,46,89.65,0,1,1
15-01-2020,store_1,item_4,45,89.65,0,2,1
16-01-2020,store_1,item_4,47,89.65,0,3,1
17-01-2020,store_1,item_4,41,89.65,0,4,1
18-01-2020,store_1,item_4,32,89.65,0,5,1
19-01-2020,store_1,item_4,39,89.65,0,6,1
20-01-2020,store_1,item_4,45,89.65,0,0,1
