Date,Product,Demand,Store,Price,Promo
03-05-2024,item_5,99,store_1,66.99,0
10-05-2024,item_1,148,store_2,39.14,0
17-05-2024,item_2,109,store_3,40.43,0
24-05-2024,item_3,61,store_1,52.33,0
31-05-2024,item_4,58,store_2,41.15,0
07-06-2024,item_5,129,store_3,65.88,0
14-06-2024,item_1,82,store_1,55.68,1
21-06-2024,item_2,121,store_2,61.41,0
28-06-2024,item_3,148,store_3,44.89,0
05-07-2024,item_4,74,store_1,30.2,0
12-07-2024,item_5,131,store_2,49.42,0
19-07-2024,item_1,110,store_3,38.97,0
26-07-2024,item_2,82,store_1,49.76,0
02-08-2024,item_3,57,store_2,63.97,0
09-08-2024,item_4,82,store_3,51.7,0
16-08-2024,item_5,135,store_1,40.61,0
23-08-2024,item_1,87,store_2,69.16,0
30-08-2024,item_2,57,store_3,55.25,0
06-09-2024,item_3,79,store_1,55.8,0
13-09-2024,item_4,146,store_2,37.81,0
20-09-2024,item_5,68,store_3,52.88,0
27-09-2024,item_1,66,store_1,69.78,0
04-10-2024,item_2,95,store_2,66.59,0
11-10-2024,item_3,86,store_3,67.13,0
18-10-2024,item_4,102,store_1,52.89,0
25-10-2024,item_5,112,store_2,42.23,0
01-11-2024,item_1,82,store_3,42.68,0
08-11-2024,item_2,74,store_1,45.79,0
15-11-2024,item_3,116,store_2,52.8,1
22-11-2024,item_4,81,store_3,56.85,0
29-11-2024,item_5,76,store_1,41.81,0
06-12-2024,item_1,82,store_2,35.46,0
13-12-2024,item_2,88,store_3,41.74,0
20-12-2024,item_3,148,store_1,40.25,0
27-12-2024,item_4,109,store_2,50.45,0
05-01-2024,item_5,94,store_3,37.77,1
12-01-2024,item_1,65,store_1,32.03,0
19-01-2024,item_2,64,store_2,45.02,1
26-01-2024,item_3,136,store_3,56.88,0
02-02-2024,item_4,107,store_1,51.71,0
09-02-2024,item_5,107,store_2,64.42,0
16-02-2024,item_1,91,store_3,62.9,0
23-02-2024,item_2,109,store_1,43.07,0
01-03-2024,item_3,109,store_2,38.63,0
08-03-2024,item_4,117,store_3,63.68,0
15-03-2024,item_5,143,store_1,51.63,0
22-03-2024,item_1,101,store_2,35.31,0
29-03-2024,item_2,79,store_3,31.64,0
05-04-2024,item_3,68,store_1,47.56,1
12-04-2024,item_4,139,store_2,68.51,0
19-04-2024,item_5,58,store_3,57.54,1
26-04-2024,item_1,50,store_1,47.69,0
03-05-2024,item_2,97,store_2,37.31,0
10-05-2024,item_3,50,store_3,68.19,0
17-05-2024,item_4,112,store_1,47.43,0
24-05-2024,item_5,116,store_2,39.91,0
31-05-2024,item_1,135,store_3,30.58,0
07-06-2024,item_2,118,store_1,33.77,0
14-06-2024,item_3,111,store_2,58.15,0
21-06-2024,item_4,139,store_3,60.53,0
28-06-2024,item_5,149,store_1,36.93,0
05-07-2024,item_1,72,store_2,31.92,0
12-07-2024,item_2,149,store_3,31.81,0
19-07-2024,item_3,68,store_1,50.13,0
26-07-2024,item_4,118,store_2,57.36,0
02-08-2024,item_5,129,store_3,55.7,1
09-08-2024,item_1,81,store_1,67.61,0
16-08-2024,item_2,99,store_2,52.93,0
23-08-2024,item_3,110,store_3,51.82,0
30-08-2024,item_4,116,store_1,62.82,0
06-09-2024,item_5,92,store_2,37.83,1
13-09-2024,item_1,144,store_3,45.09,1
20-09-2024,item_2,84,store_1,43.46,0
27-09-2024,item_3,142,store_2,63.8,1
04-10-2024,item_4,83,store_3,40.43,0
11-10-2024,item_5,107,store_1,57.87,0
18-10-2024,item_1,78,store_2,31.57,0
25-10-2024,item_2,85,store_3,37.1,0
01-11-2024,item_3,113,store_1,53.04,0
08-11-2024,item_4,85,store_2,44.88,0
15-11-2024,item_5,73,store_3,64.68,0
22-11-2024,item_1,61,store_1,47.16,0
29-11-2024,item_2,138,store_2,39.53,0
06-12-2024,item_3,111,store_3,49.86,0
13-12-2024,item_4,62,store_1,65.82,0
20-12-2024,item_5,61,store_2,68.34,0
27-12-2024,item_1,58,store_3,42.77,0
05-01-2024,item_2,101,store_1,52.94,0
12-01-2024,item_3,118,store_2,41.73,0
19-01-2024,item_4,134,store_3,60.09,0
26-01-2024,item_5,106,store_1,34.54,0
02-02-2024,item_1,107,store_2,32.3,0
09-02-2024,item_2,54,store_3,59.48,0
16-02-2024,item_3,124,store_1,34.68,0
23-02-2024,item_4,123,store_2,63.48,0
01-03-2024,item_5,56,store_3,47.04,0
08-03-2024,item_1,58,store_1,62.87,0
15-03-2024,item_2,54,store_2,50.53,0
22-03-2024,item_3,57,store_3,44.97,0
29-03-2024,item_4,66,store_1,67.89,0
05-04-2024,item_5,53,store_2,44.01,0
12-04-2024,item_1,68,store_3,61.09,0
19-04-2024,item_2,140,store_1,39.95,0
26-04-2024,item_3,116,store_2,40.15,0
03-05-2024,item_4,107,store_3,59.64,0
10-05-2024,item_5,88,store_1,59.84,0
17-05-2024,item_1,111,store_2,46.01,0
24-05-2024,item_2,74,store_3,64.74,0
31-05-2024,item_3,55,store_1,62.08,0
07-06-2024,item_4,94,store_2,31.73,0
14-06-2024,item_5,134,store_3,69.72,1
21-06-2024,item_1,148,store_1,57.82,1
28-06-2024,item_2,96,store_2,55.18,0
05-07-2024,item_3,80,store_3,69.83,0
12-07-2024,item_4,52,store_1,66.05,1
19-07-2024,item_5,61,store_2,68.35,1
26-07-2024,item_1,125,store_3,34.27,0
02-08-2024,item_2,141,store_1,55.87,0
09-08-2024,item_3,109,store_2,53.35,1
16-08-2024,item_4,90,store_3,40.4,0
23-08-2024,item_5,112,store_1,51.44,0
30-08-2024,item_1,133,store_2,54.11,0
06-09-2024,item_2,62,store_3,66.44,0
13-09-2024,item_3,131,store_1,46.67,0
20-09-2024,item_4,74,store_2,46.73,0
27-09-2024,item_5,54,store_3,31.05,0
04-10-2024,item_1,114,store_1,49.21,0
11-10-2024,item_2,60,store_2,53.77,0
18-10-2024,item_3,135,store_3,63.17,0
25-10-2024,item_4,82,store_1,48.75,0
01-11-2024,item_5,50,store_2,30.55,1
08-11-2024,item_1,141,store_3,62.52,0
15-11-2024,item_2,52,store_1,52.22,0
22-11-2024,item_3,86,store_2,60.28,0
29-11-2024,item_4,134,store_3,48.02,0
06-12-2024,item_5,100,store_1,40.99,0
13-12-2024,item_1,114,store_2,56.87,0
20-12-2024,item_2,141,store_3,40.75,1
27-12-2024,item_3,83,store_1,49.05,0
05-01-2024,item_4,99,store_2,64.09,0
12-01-2024,item_5,54,store_3,33.54,0
19-01-2024,item_1,66,store_1,35.36,1
26-01-2024,item_2,128,store_2,61.39,0
02-02-2024,item_3,124,store_3,38.52,0
09-02-2024,item_4,147,store_1,44.02,0
16-02-2024,item_5,79,store_2,52.19,1
23-02-2024,item_1,147,store_3,43.93,0
01-03-2024,item_2,137,store_1,66.42,0
08-03-2024,item_3,100,store_2,57.91,0
15-03-2024,item_4,59,store_3,67.06,0
22-03-2024,item_5,133,store_1,48.37,0
29-03-2024,item_1,102,store_2,43.9,0
05-04-2024,item_2,92,store_3,39.61,1
12-04-2024,item_3,72,store_1,35.12,0
19-04-2024,item_4,65,store_2,55.63,0
26-04-2024,item_5,105,store_3,46.47,0
03-05-2024,item_1,76,store_1,56.7,0
10-05-2024,item_2,100,store_2,31.63,0
17-05-2024,item_3,141,store_3,43.9,1
24-05-2024,item_4,119,store_1,34.83,0
31-05-2024,item_5,139,store_2,65.77,0
07-06-2024,item_1,139,store_3,57.62,1
14-06-2024,item_2,96,store_1,55.12,1
21-06-2024,item_3,143,store_2,36.28,0
28-06-2024,item_4,130,store_3,41.08,0
05-07-2024,item_5,148,store_1,37.38,0
12-07-2024,item_1,105,store_2,49.38,0
19-07-2024,item_2,136,store_3,51.25,0
26-07-2024,item_3,75,store_1,31.47,0
02-08-2024,item_4,56,store_2,57.49,0
09-08-2024,item_5,67,store_3,47.9,0
16-08-2024,item_1,64,store_1,34.19,0
23-08-2024,item_2,77,store_2,30.8,0
30-08-2024,item_3,135,store_3,43.1,0
06-09-2024,item_4,66,store_1,43.72,0
13-09-2024,item_5,59,store_2,61.57,0
20-09-2024,item_1,149,store_3,51.48,0
27-09-2024,item_2,57,store_1,53.46,0
04-10-2024,item_3,91,store_2,41.35,0
11-10-2024,item_4,75,store_3,54.3,0
18-10-2024,item_5,108,store_1,69.46,0
25-10-2024,item_1,82,store_2,30.3,0
01-11-2024,item_2,119,store_3,39.84,0
08-11-2024,item_3,124,store_1,33.52,0
15-11-2024,item_4,73,store_2,65.87,1
22-11-2024,item_5,80,store_3,46.42,0
29-11-2024,item_1,144,store_1,65.86,0
06-12-2024,item_2,124,store_2,64.62,0
13-12-2024,item_3,143,store_3,36.84,0
20-12-2024,item_4,106,store_1,58.74,0
27-12-2024,item_5,75,store_2,41.2,0
05-01-2024,item_1,119,store_3,68.72,0
12-01-2024,item_2,133,store_1,50.3,0
19-01-2024,item_3,96,store_2,58.29,0
26-01-2024,item_4,87,store_3,53.25,0
02-02-2024,item_5,149,store_1,42.83,0
09-02-2024,item_1,55,store_2,43.46,0
16-02-2024,item_2,72,store_3,51.96,0
23-02-2024,item_3,89,store_1,62.39,0
01-03-2024,item_4,122,store_2,60.41,0
08-03-2024,item_5,73,store_3,54.24,0
15-03-2024,item_1,144,store_1,67.18,0
22-03-2024,item_2,99,store_2,34.97,0
29-03-2024,item_3,58,store_3,38.2,0
05-04-2024,item_4,50,store_1,59.64,0
12-04-2024,item_5,113,store_2,61.26,0
19-04-2024,item_1,63,store_3,61.98,0
26-04-2024,item_2,86,store_1,62.58,0
03-05-2024,item_3,75,store_2,66.31,0
10-05-2024,item_4,91,store_3,45.7,0
17-05-2024,item_5,88,store_1,58.55,0
24-05-2024,item_1,87,store_2,51.59,0
31-05-2024,item_2,146,store_3,39.29,0
07-06-2024,item_3,115,store_1,51.74,0
14-06-2024,item_4,100,store_2,51.71,0
21-06-2024,item_5,116,store_3,55.11,0
28-06-2024,item_1,113,store_1,36.67,0
05-07-2024,item_2,82,store_2,51.34,0
12-07-2024,item_3,85,store_3,69.91,0
19-07-2024,item_4,76,store_1,59.76,1
26-07-2024,item_5,135,store_2,58.56,0
02-08-2024,item_1,123,store_3,43.68,0
09-08-2024,item_2,80,store_1,45.15,0
16-08-2024,item_3,101,store_2,45.89,0
23-08-2024,item_4,54,store_3,49.45,0
30-08-2024,item_5,94,store_1,58.8,0
06-09-2024,item_1,85,store_2,51.71,0
13-09-2024,item_2,118,store_3,63.07,0
20-09-2024,item_3,87,store_1,39.09,0
27-09-2024,item_4,139,store_2,67.89,0
04-10-2024,item_5,62,store_3,35.56,0
11-10-2024,item_1,146,store_1,30.72,0
18-10-2024,item_2,125,store_2,34.09,0
25-10-2024,item_3,54,store_3,66.9,0
01-11-2024,item_4,141,store_1,44.98,1
08-11-2024,item_5,100,store_2,59.46,0
15-11-2024,item_1,135,store_3,66.43,0
22-11-2024,item_2,70,store_1,36.62,0
29-11-2024,item_3,136,store_2,66.83,0
06-12-2024,item_4,104,store_3,39.1,0
13-12-2024,item_5,96,store_1,32.19,0
20-12-2024,item_1,101,store_2,61.51,0
27-12-2024,item_2,84,store_3,45.93,0
05-01-2024,item_3,124,store_1,66.92,0
12-01-2024,item_4,140,store_2,59.5,0
19-01-2024,item_5,92,store_3,31.31,0
26-01-2024,item_1,103,store_1,37.06,0
02-02-2024,item_2,119,store_2,31.36,0
09-02-2024,item_3,78,store_3,53.22,0
16-02-2024,item_4,77,store_1,38.51,0
23-02-2024,item_5,130,store_2,68.44,0
01-03-2024,item_1,135,store_3,33.41,0
08-03-2024,item_2,98,store_1,41.98,0
15-03-2024,item_3,143,store_2,60.0,0
22-03-2024,item_4,132,store_3,43.98,0
29-03-2024,item_5,98,store_1,31.46,0
05-04-2024,item_1,89,store_2,53.5,0
12-04-2024,item_2,96,store_3,51.11,0
19-04-2024,item_3,143,store_1,52.39,0
26-04-2024,item_4,50,store_2,43.37,1
03-05-2024,item_5,52,store_3,44.93,0
10-05-2024,item_1,83,store_1,46.35,1
17-05-2024,item_2,141,store_2,63.59,0
24-05-2024,item_3,57,store_3,31.08,0
31-05-2024,item_4,137,store_1,37.84,0
07-06-2024,item_5,121,store_2,34.16,0
14-06-2024,item_1,116,store_3,65.5,0
21-06-2024,item_2,57,store_1,33.98,0
28-06-2024,item_3,127,store_2,54.13,0
05-07-2024,item_4,65,store_3,45.89,0
12-07-2024,item_5,134,store_1,46.26,0
19-07-2024,item_1,131,store_2,30.52,1
26-07-2024,item_2,72,store_3,63.93,0
02-08-2024,item_3,68,store_1,53.32,0
09-08-2024,item_4,51,store_2,66.42,0
16-08-2024,item_5,60,store_3,40.38,0
23-08-2024,item_1,136,store_1,31.37,0
30-08-2024,item_2,86,store_2,46.38,0
06-09-2024,item_3,147,store_3,64.44,0
13-09-2024,item_4,135,store_1,61.19,0
20-09-2024,item_5,79,store_2,49.5,0
27-09-2024,item_1,145,store_3,47.01,1
04-10-2024,item_2,63,store_1,59.67,0
11-10-2024,item_3,74,store_2,40.32,0
18-10-2024,item_4,53,store_3,35.29,0
25-10-2024,item_5,147,store_1,40.89,1
01-11-2024,item_1,67,store_2,51.19,0
08-11-2024,item_2,90,store_3,40.96,0
15-11-2024,item_3,74,store_1,49.9,0
22-11-2024,item_4,135,store_2,35.48,0
29-11-2024,item_5,55,store_3,59.29,0
06-12-2024,item_1,102,store_1,37.01,0
13-12-2024,item_2,75,store_2,46.18,0
20-12-2024,item_3,95,store_3,31.88,0
27-12-2024,item_4,114,store_1,33.31,0
05-01-2024,item_5,75,store_2,32.73,0
12-01-2024,item_1,60,store_3,44.23,0
19-01-2024,item_2,88,store_1,54.42,0
26-01-2024,item_3,104,store_2,56.55,0
02-02-2024,item_4,118,store_3,49.35,0
09-02-2024,item_5,69,store_1,36.48,0
16-02-2024,item_1,130,store_2,49.85,0
23-02-2024,item_2,147,store_3,54.93,0
01-03-2024,item_3,122,store_1,33.01,0
08-03-2024,item_4,138,store_2,58.2,0
15-03-2024,item_5,74,store_3,39.86,0
22-03-2024,item_1,93,store_1,68.71,1
29-03-2024,item_2,61,store_2,44.44,1
05-04-2024,item_3,98,store_3,35.47,0
12-04-2024,item_4,104,store_1,50.85,1
19-04-2024,item_5,129,store_2,64.92,0
26-04-2024,item_1,70,store_3,60.36,0
03-05-2024,item_2,129,store_1,63.97,0
10-05-2024,item_3,138,store_2,55.87,0
17-05-2024,item_4,75,store_3,31.58,0
24-05-2024,item_5,120,store_1,69.97,0
31-05-2024,item_1,135,store_2,66.62,1
07-06-2024,item_2,56,store_3,41.89,0
14-06-2024,item_3,108,store_1,67.77,0
21-06-2024,item_4,143,store_2,32.2,0
28-06-2024,item_5,108,store_3,63.16,1
05-07-2024,item_1,80,store_1,44.59,0
12-07-2024,item_2,94,store_2,33.08,0
19-07-2024,item_3,89,store_3,47.64,0
26-07-2024,item_4,88,store_1,42.61,0
02-08-2024,item_5,142,store_2,56.47,0
09-08-2024,item_1,82,store_3,65.44,0
16-08-2024,item_2,115,store_1,30.98,0
23-08-2024,item_3,79,store_2,30.01,0
30-08-2024,item_4,67,store_3,67.56,0
06-09-2024,item_5,88,store_1,30.38,1
13-09-2024,item_1,142,store_2,31.5,0
20-09-2024,item_2,65,store_3,64.95,0
27-09-2024,item_3,59,store_1,33.67,0
04-10-2024,item_4,133,store_2,59.5,0
11-10-2024,item_5,52,store_3,48.69,0
18-10-2024,item_1,117,store_1,58.62,0
25-10-2024,item_2,97,store_2,30.71,0
01-11-2024,item_3,122,store_3,34.38,0
08-11-2024,item_4,117,store_1,38.73,0
15-11-2024,item_5,110,store_2,40.36,0
22-11-2024,item_1,88,store_3,65.16,0
29-11-2024,item_2,60,store_1,66.15,0
06-12-2024,item_3,120,store_2,69.65,0
13-12-2024,item_4,69,store_3,63.51,0
20-12-2024,item_5,123,store_1,31.88,0
27-12-2024,item_1,90,store_2,37.46,0
05-01-2024,item_2,55,store_3,62.03,0
12-01-2024,item_3,136,store_1,65.35,0
19-01-2024,item_4,110,store_2,40.41,0
26-01-2024,item_5,131,store_3,57.84,0
02-02-2024,item_1,81,store_1,48.54,0
09-02-2024,item_2,138,store_2,53.72,0
16-02-2024,item_3,147,store_3,48.3,0
23-02-2024,item_4,141,store_1,49.07,1
01-03-2024,item_5,147,store_2,64.49,0
08-03-2024,item_1,89,store_3,67.26,0
15-03-2024,item_2,147,store_1,46.34,0
22-03-2024,item_3,121,store_2,57.83,1
29-03-2024,item_4,67,store_3,33.24,0
05-04-2024,item_5,126,store_1,65.78,0
12-04-2024,item_1,89,store_2,65.32,0
19-04-2024,item_2,107,store_3,52.85,0
26-04-2024,item_3,89,store_1,52.63,0
03-05-2024,item_4,55,store_2,50.85,0
10-05-2024,item_5,141,store_3,64.02,0
17-05-2024,item_1,90,store_1,43.36,0
24-05-2024,item_2,102,store_2,57.21,0
31-05-2024,item_3,87,store_3,37.57,0
07-06-2024,item_4,94,store_1,64.87,1
14-06-2024,item_5,72,store_2,30.21,0
21-06-2024,item_1,102,store_3,59.74,0
28-06-2024,item_2,149,store_1,52.25,0
05-07-2024,item_3,61,store_2,30.26,0
12-07-2024,item_4,95,store_3,43.06,0
19-07-2024,item_5,144,store_1,45.07,1
26-07-2024,item_1,84,store_2,35.14,0
02-08-2024,item_2,120,store_3,51.65,0
09-08-2024,item_3,112,store_1,45.69,0
16-08-2024,item_4,86,store_2,34.1,0
23-08-2024,item_5,145,store_3,60.83,0
30-08-2024,item_1,113,store_1,58.33,1
06-09-2024,item_2,59,store_2,48.94,1
13-09-2024,item_3,131,store_3,64.86,0
20-09-2024,item_4,78,store_1,47.84,0
27-09-2024,item_5,101,store_2,60.33,1
04-10-2024,item_1,60,store_3,62.86,0
11-10-2024,item_2,81,store_1,60.82,0
18-10-2024,item_3,75,store_2,36.36,0
25-10-2024,item_4,53,store_3,47.05,0
01-11-2024,item_5,88,store_1,51.08,0
08-11-2024,item_1,124,store_2,38.83,1
15-11-2024,item_2,127,store_3,39.2,0
22-11-2024,item_3,116,store_1,68.03,0
29-11-2024,item_4,141,store_2,59.25,0
06-12-2024,item_5,108,store_3,68.58,0
13-12-2024,item_1,118,store_1,69.36,0
20-12-2024,item_2,87,store_2,39.2,0
27-12-2024,item_3,113,store_3,64.72,0
05-01-2024,item_4,67,store_1,64.57,0
12-01-2024,item_5,121,store_2,36.37,0
19-01-2024,item_1,142,store_3,61.06,0
26-01-2024,item_2,95,store_1,51.21,1
02-02-2024,item_3,142,store_2,35.25,1
09-02-2024,item_4,109,store_3,68.7,0
16-02-2024,item_5,64,store_1,49.26,0
23-02-2024,item_1,66,store_2,54.29,0
01-03-2024,item_2,58,store_3,38.02,0
08-03-2024,item_3,112,store_1,56.06,0
15-03-2024,item_4,51,store_2,61.9,0
22-03-2024,item_5,126,store_3,35.98,0
29-03-2024,item_1,143,store_1,45.7,0
05-04-2024,item_2,144,store_2,58.88,0
12-04-2024,item_3,138,store_3,64.4,0
19-04-2024,item_4,57,store_1,58.97,0
26-04-2024,item_5,90,store_2,39.68,0
03-05-2024,item_1,81,store_3,30.73,0
10-05-2024,item_2,141,store_1,58.1,0
17-05-2024,item_3,81,store_2,67.65,1
24-05-2024,item_4,146,store_3,33.51,0
31-05-2024,item_5,82,store_1,62.98,0
07-06-2024,item_1,115,store_2,69.1,0
14-06-2024,item_2,64,store_3,38.01,0
21-06-2024,item_3,98,store_1,68.06,0
28-06-2024,item_4,55,store_2,53.79,0
05-07-2024,item_5,144,store_3,51.65,0
12-07-2024,item_1,57,store_1,67.89,0
19-07-2024,item_2,133,store_2,43.58,0
26-07-2024,item_3,56,store_3,56.43,0
02-08-2024,item_4,55,store_1,62.69,0
09-08-2024,item_5,52,store_2,31.63,0
